,gender,SeniorCitizen,Partner,Dependents,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_scaled,Charges_scaled
40,0,0,1,1,1,2,2,2,2,2,1,1,68.95,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0.06944444444444445,0.03839141472420956
41,1,0,0,0,1,1,1,1,2,1,1,0,62.85,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.736111111111111,0.392418647588276
42,1,1,1,1,1,2,2,1,1,1,0,1,110.45,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0.75,0.6991633971843988
43,0,0,0,1,1,1,2,2,2,2,1,1,45.3,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.05555555555555555,0.02055735056542811
44,1,1,0,1,1,2,2,2,2,2,1,0,75.65,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0.20833333333333331,0.130146549734595
45,1,0,0,1,1,0,0,0,0,0,1,1,19.85,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.1388888888888889,0.02010731594738057
46,0,0,0,1,1,1,2,2,2,2,1,1,55.3,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0.041666666666666664,0.02046503577198246
47,0,0,1,1,1,0,0,0,0,0,0,0,24.75,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0.986111111111111,0.2097969074544196
48,1,0,1,1,1,1,2,1,1,2,1,1,54.75,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.1111111111111111,0.04927879067620587
49,1,1,0,1,1,2,2,2,2,2,1,1,94.0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0.013888888888888888,0.00867759058389107
50,0,0,1,0,1,2,1,1,2,1,0,0,110.3,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.8888888888888888,0.8052734825755827
51,1,0,0,1,1,0,0,0,0,0,0,0,18.8,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.7916666666666666,0.12411147011308563
52,0,1,1,1,1,2,2,2,1,2,1,1,100.8,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0.013888888888888888,0.009462266328179092
53,0,1,1,1,1,1,2,1,2,2,1,1,60.0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0.2777777777777778,0.14315139626125087
54,0,1,0,1,1,1,2,2,2,1,1,1,66.05,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0.3611111111111111,0.18850680821601665
55,0,1,0,1,1,2,2,2,2,2,1,1,79.75,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0.027777777777777776,0.016224324948072927
56,1,0,1,0,1,2,1,1,1,2,1,0,94.8,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0.4444444444444444,0.3591910916224325
57,0,0,0,1,1,0,0,0,0,0,1,0,25.45,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.06944444444444445,0.013379875375028848
58,0,0,0,1,1,2,1,1,1,2,0,1,111.15,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0.9722222222222222,0.8906935148857604
59,1,0,0,1,1,1,2,2,1,1,1,1,55.25,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0.4305555555555555,0.19580544657281332
60,0,0,0,1,1,1,2,2,2,1,1,1,59.5,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0.09722222222222221,0.04582852527117471
61,1,0,0,1,0,1,2,2,2,2,1,0,25.35,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.013888888888888888,0.0007558273713362566
62,1,1,0,1,1,2,2,2,1,2,1,1,98.55,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0.2777777777777778,0.21047772905608125
63,1,0,0,1,1,1,1,1,1,2,1,0,61.2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.4861111111111111,0.23106392799446113
64,1,0,0,1,1,1,2,2,1,2,1,0,60.9,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0.08333333333333333,0.04561504731133165
65,0,0,1,0,1,1,1,1,2,1,0,0,74.55,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1.0,0.6244922686360489
66,0,0,0,1,1,0,0,0,0,0,1,0,19.65,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0.18055555555555555,0.026078929148396032
67,0,1,0,1,1,1,2,2,2,2,1,0,48.75,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.05555555555555555,0.01858412185552735
68,1,0,1,0,1,0,0,0,0,0,0,1,19.15,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.875,0.13365451188552965
69,1,0,1,1,1,1,1,1,1,1,0,1,84.7,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.9583333333333333,0.6762174013385644
70,0,0,0,1,0,1,1,2,2,1,1,0,34.25,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0.041666666666666664,0.013910685437341332
71,0,1,1,1,1,2,1,2,2,2,0,1,80.7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.986111111111111,0.6528040618509117
72,1,0,1,1,1,0,0,0,0,0,1,1,19.45,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.20833333333333331,0.03716247403646435
73,0,0,1,0,1,0,0,0,0,0,0,0,19.7,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.41666666666666663,0.0669801523194092
74,0,0,0,1,1,2,2,1,1,1,1,0,83.2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.3194444444444444,0.23234479575351952
75,1,1,1,1,1,0,0,0,0,0,1,0,19.85,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.125,0.018964920378490655
76,1,0,0,1,1,0,0,0,0,0,1,1,19.15,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.4861111111111111,0.07145165012693284
77,0,0,1,0,1,1,2,2,2,2,1,0,54.85,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0.08333333333333333,0.03880683129471498
78,0,0,0,1,1,2,2,2,2,2,1,1,75.05,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.013888888888888888,0.0064908839141472425
79,0,0,1,0,1,0,0,0,0,0,0,0,25.1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1.0,0.21221440110777753
80,1,0,1,0,1,1,1,1,1,1,0,1,84.35,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.625,0.44302446342026314
81,1,0,1,0,1,2,2,1,2,1,1,1,89.75,1,1,0,0,0,0,1,1,0,0,0,0,2,0,0.09722222222222221,0.06808216016616662
82,1,0,0,1,0,1,1,2,1,1,0,0,48.4,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0.9722222222222222,0.3951073159473806
83,1,0,1,1,1,0,0,0,0,0,0,0,19.9,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.736111111111111,0.1259231479344565
84,1,0,0,1,1,1,2,2,2,2,1,0,51.75,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.05555555555555555,0.021036233556427416
85,0,0,1,1,1,1,1,1,1,1,0,1,92.4,0,0,0,1,0,0,1,0,0,1,0,0,2,0,1.0,0.7809023771059312
86,1,0,1,0,0,1,1,1,1,1,0,0,45.25,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1.0,0.3601430879298408
87,1,1,1,1,1,2,2,2,2,2,1,1,94.8,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0.2361111111111111,0.17829448419109165
88,0,0,0,1,1,2,2,2,2,2,1,1,69.85,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.09722222222222221,0.05731017770597739
89,0,0,0,0,1,0,0,0,0,0,1,0,20.1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0.15277777777777776,0.023372951765520424
90,0,0,0,1,1,2,2,2,2,2,1,0,74.9,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0.027777777777777776,0.01481075467343642
91,0,0,0,1,1,2,1,1,1,1,0,1,109.9,0,1,0,0,0,0,1,0,0,1,0,0,2,0,1.0,0.87761366258943
92,1,0,0,0,1,2,2,2,1,2,1,1,78.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.15277777777777776,0.09612277867528271
93,1,1,0,1,1,2,2,2,2,2,1,1,91.4,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0.06944444444444445,0.04972882529425341
94,1,1,1,1,1,2,2,2,2,2,1,0,74.95,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0.05555555555555555,0.0334525732748673
95,1,0,1,1,1,1,2,2,1,2,1,1,50.0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.41666666666666663,0.16802446342026311
96,0,0,1,0,1,0,0,0,0,0,0,0,20.9,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.15277777777777776,0.021174705746595895
97,1,0,1,1,0,1,2,1,2,2,1,1,49.8,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.2361111111111111,0.09433994922686362
98,0,1,0,1,0,1,2,1,1,2,1,1,56.25,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0.4722222222222222,0.20160973921070854
99,0,1,0,1,0,1,2,2,1,2,1,1,30.4,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0.027777777777777776,0.006906300484652667
100,1,0,0,0,1,0,0,0,0,0,1,0,19.1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.7638888888888888,0.11339718439879992
101,0,1,0,1,1,1,1,1,2,1,1,0,59.9,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.06944444444444445,0.031046618970690058
102,0,0,1,0,1,0,0,0,0,0,1,1,20.0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.15277777777777776,0.020488114470343873
103,0,0,0,0,1,2,2,2,2,2,1,1,79.6,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0.013888888888888888,0.007015924301869374
104,0,0,1,1,1,0,0,0,0,0,0,0,19.45,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.9722222222222222,0.14824601892453265
105,1,1,0,1,1,2,2,2,2,2,1,1,74.85,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0.027777777777777776,0.015878144472651744
106,0,0,0,1,1,2,2,2,2,2,1,1,73.85,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0.09722222222222221,0.05682552504038773
107,1,0,0,1,1,0,0,0,0,0,0,1,20.2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.4861111111111111,0.07680590814678052
108,0,0,0,1,1,1,1,1,1,1,1,1,71.1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.8055555555555555,0.49393030233094853
109,0,0,1,0,1,2,2,1,1,1,0,1,109.2,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.0,0.8876817447495962
110,1,0,1,0,1,1,1,1,1,1,0,0,62.65,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.9444444444444444,0.5027694438033695
111,1,0,0,1,1,1,2,2,2,1,1,0,59.45,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0.3611111111111111,0.1717285945072698
112,0,0,0,1,1,1,2,2,2,2,1,1,45.05,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0.16666666666666666,0.058192937918301414
113,1,0,1,0,1,1,2,2,2,2,1,0,60.35,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0.3472222222222222,0.159918070620817
114,1,1,1,0,1,2,1,1,1,1,0,1,114.95,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.0,0.9436418186014308
115,1,0,0,0,1,2,1,1,1,1,0,1,114.6,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0.9722222222222222,0.9074198015231941
116,1,1,0,0,1,1,2,2,1,2,1,1,50.15,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0.013888888888888888,0.0036175859681513963
117,1,0,0,1,1,2,1,1,2,2,1,1,86.65,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.3611111111111111,0.2527059773828756
118,0,0,1,0,1,1,2,2,2,2,1,0,65.7,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0.027777777777777776,0.013333717978306025
119,0,0,1,0,1,0,0,0,0,0,1,0,19.9,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.38888888888888884,0.06048926840526195
120,0,0,1,0,1,0,0,0,0,0,1,0,19.85,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.08333333333333333,0.01159704592660974
121,0,0,1,0,0,1,1,2,1,1,0,0,59.75,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0.8055555555555555,0.4160570043849527
122,0,1,1,1,0,1,1,2,1,2,1,1,45.0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0.40277777777777773,0.1396088160627741
123,1,0,0,1,1,1,2,1,1,2,1,1,71.4,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.2222222222222222,0.1376990537733672
124,1,1,1,1,1,2,2,1,2,2,1,1,101.0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,0.5972222222222222,0.5042234018001385
125,1,0,1,1,1,1,1,1,2,2,1,1,75.4,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0.7222222222222222,0.4438783752596353
126,0,0,1,0,1,2,1,1,1,1,0,1,118.75,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.0,0.998574890376183
127,1,0,1,0,1,0,0,0,0,0,0,0,19.45,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.986111111111111,0.15689476113547196
128,1,0,1,1,1,0,0,0,0,0,0,1,20.4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.9027777777777777,0.1610489268405262
129,0,0,0,1,1,2,2,2,2,2,1,1,84.5,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0.6805555555555555,0.44863835679667663
130,1,0,0,1,1,2,2,2,1,2,1,1,83.8,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0.7222222222222222,0.4976459727671359
131,1,0,0,1,1,0,0,0,0,0,1,0,20.35,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0.027777777777777776,0.0016616662820216942
132,1,0,1,0,1,2,1,1,1,1,0,0,109.3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.986111111111111,0.8959208400646204
133,1,0,0,1,1,2,2,2,1,2,1,0,89.4,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0.75,0.5597392107085161
134,0,0,1,0,1,1,2,1,1,1,1,0,76.5,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.20833333333333331,0.13117932148626818
135,1,0,0,1,0,1,2,2,2,2,1,1,24.6,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.125,0.019766905146549735
136,1,1,1,1,1,2,1,2,1,2,0,1,105.05,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.6944444444444444,0.593641818601431
137,1,0,1,0,1,2,2,2,2,2,1,1,83.65,1,0,0,1,1,0,0,0,0,1,0,0,2,0,0.2638888888888889,0.1669686129702285
138,0,1,1,1,1,2,2,1,2,1,0,1,104.45,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.9722222222222222,0.845897761366259
139,0,1,1,1,1,2,1,1,2,2,1,1,106.85,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.0,0.8837525963535656
140,1,1,1,1,1,2,2,1,1,2,1,1,105.1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0.7222222222222222,0.6182321717055158
141,0,0,1,0,1,1,2,2,2,2,1,0,46.3,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0.20833333333333331,0.07161897069005309
142,0,0,1,0,1,1,2,2,1,2,0,1,76.8,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1.0,0.6288541426263559
143,1,1,0,1,1,2,2,1,2,2,1,1,81.35,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0.041666666666666664,0.02479806138933764
144,1,0,0,1,1,2,1,1,2,2,1,0,99.15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0.8055555555555555,0.657990999307639
145,0,0,0,1,1,0,0,0,0,0,1,1,20.35,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.013888888888888888,0.00017885991230094612
146,1,0,1,1,1,2,2,2,2,1,1,1,89.85,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0.4861111111111111,0.36261250865451183
147,0,0,1,0,1,2,2,2,2,2,1,1,84.4,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0.6944444444444444,0.47280752365566575
148,1,0,1,1,1,0,0,0,0,0,0,1,19.75,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0.5694444444444444,0.10162127855988923
149,1,0,1,0,1,1,1,1,1,2,0,0,64.45,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1.0,0.5424878836833602
150,0,0,0,1,1,1,2,1,1,2,1,1,68.95,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0.41666666666666663,0.2330833141010847
151,0,0,1,0,0,1,2,2,2,2,1,1,24.4,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0.027777777777777776,0.002048234479575351
152,1,0,0,1,0,1,2,2,2,1,1,1,29.7,1,0,1,0,1,0,0,1,0,0,0,0,2,0,0.20833333333333331,0.048401800138472194
153,1,0,1,0,1,1,1,2,1,1,1,1,58.75,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.5138888888888888,0.2520540041541657
154,1,0,1,0,1,1,2,1,1,2,0,1,75.4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1.0,0.6302157858296792
155,1,0,1,0,1,0,0,0,0,0,0,0,25.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1.0,0.1984883452573275
156,1,0,1,1,1,2,1,1,1,1,0,0,114.3,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.9722222222222222,0.9491691668589891
157,0,0,0,1,1,0,0,0,0,0,1,0,19.65,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0.013888888888888888,9.808446803600233e-05
158,1,0,1,1,1,2,2,1,1,2,1,0,84.25,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0.3194444444444444,0.22493653357950613
159,0,0,0,1,1,2,2,2,2,2,1,1,74.6,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0.1111111111111111,0.06117009000692361
160,1,0,0,1,1,1,2,2,2,2,1,1,46.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0.027777777777777776,0.007581352411723978
161,0,0,1,0,0,1,1,1,2,1,1,0,38.85,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.3611111111111111,0.11612624048003695
162,1,0,0,0,1,0,0,0,0,0,1,0,19.65,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.7222222222222222,0.10496192014770367
163,0,0,1,0,0,1,1,2,2,1,0,0,34.6,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.3194444444444444,0.0916974382644819
164,0,0,0,1,1,2,1,1,2,2,1,1,99.1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0.20833333333333331,0.1624278790676206
165,1,0,1,1,1,1,2,1,2,2,1,1,50.15,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.5555555555555556,0.23536810523886453
166,1,0,0,1,1,1,2,2,1,1,1,0,59.45,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0.375,0.18380452342487885
167,0,0,1,1,1,0,0,0,0,0,1,0,19.5,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0.5138888888888888,0.09074544195707364
168,1,0,0,1,1,2,1,1,1,1,1,0,112.2,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0.625,0.5784733441033926
169,0,0,1,1,1,2,2,2,2,2,1,0,69.95,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0.06944444444444445,0.03592776367412878
170,0,0,1,1,1,0,0,0,0,0,0,0,23.85,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.986111111111111,0.19078006000461575
171,1,0,0,1,1,1,2,2,2,2,1,0,54.3,1,1,0,0,1,0,0,0,0,1,0,0,2,0,0.05555555555555555,0.02036695130394646
172,0,0,1,0,1,0,0,0,0,0,0,1,20.2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.5277777777777778,0.0839199169166859
173,1,0,0,0,1,1,1,2,1,2,1,0,55.9,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.041666666666666664,0.016010846988229865
174,1,0,0,1,1,0,0,0,0,0,0,0,19.15,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0.2361111111111111,0.03746249711516271
175,1,0,1,0,1,1,1,1,1,1,0,1,90.15,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0.9722222222222222,0.7175455804292639
176,1,0,0,1,1,1,2,2,2,2,1,1,44.9,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0.013888888888888888,0.00301177013616432
177,0,0,1,0,1,2,1,1,1,2,0,0,100.5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0.986111111111111,0.8091218555273483
